full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes,
AST-1237-TP0,TP0,,Astrangia poculata,,,,,,,,,,,,,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,16.474,8.963,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,10.952,7.182,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,7.897,5.045,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,22.853,15.449,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,20.926,15.178,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,34.142,19.868,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,47.491,28.15,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,42.811,33.685,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,37.437,30.271,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,12.145,8.135,50,"NOT in jill experimental design notebook, Must be AST-1479, previous name was AST-1476-TP0",
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,7.935,7.119,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,17.333,9.557,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,32.274,16.013,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,28.938,18.449,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,30.144,16.208,50,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,17.316,13.954,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,13.76,10.703,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,15.422,11.839,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,51.524,28.054,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,35.449,21.024,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,38.893,21.024,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,3,61.761,54.511,24,,
AST-2004-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2001-TP0.vsi,14,PP,3.6547,microns,NA,0,0,0,0,Mislabelled,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,16.52,7.034,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,13.815,10.303,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,15.599,12.252,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,27.536,,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,,,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,,,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,3,,,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,3,,,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,3,,,50,,
AST-2868,,,Astrangia poculata,,,,,,,,,,,,,,
